substitution_id,missing_ingredient,alternative,method,notes
S001,Paneer,Full fat milk + lemon juice,"Bring 1 litre of full fat milk to a boil, switch off the heat and wait a minute. Stir in 2 tablespoons of lemon juice a little at a time until the milk curdles and the whey turns clear and greenish. Pour into a muslin cloth, rinse under cold water to remove the sourness, squeeze out the excess whey and hang for 30 minutes. Press the bundle under a heavy weight for another 30 minutes and cut into cubes.","1 litre of milk yields roughly 200 grams of paneer. Use the leftover whey to knead dough or thin a gravy. Vinegar or curd works in place of lemon juice."
S002,Butter,Ghee,"Use three quarters of the quantity of ghee for every measure of butter, since ghee has no water content.","Ghee has a higher smoke point and a nuttier flavour, so it suits Indian gravies and tempering very well. Reduce added salt slightly as ghee is unsalted."
S003,Fresh cream,Milk + butter,"Melt 2 tablespoons of butter, cool slightly and whisk into 180 ml of warm full fat milk until emulsified. Use immediately in place of 200 ml of cream.","Works well for curries and soups where the cream is cooked in. It will not whip, so do not use it for desserts that need whipped cream."
S004,Fresh cream,Cashew paste,"Soak 15 cashews in hot water for 20 minutes and blend with 3 tablespoons of water into a completely smooth paste. Use 3 tablespoons of paste in place of 50 ml of cream.","This is the standard dairy free route for restaurant style gravies. Add it on low heat and do not boil hard or the gravy may split."
S005,Curd,Milk + lemon juice or vinegar,"Warm 500 ml of full fat milk to just above body temperature. Stir in 2 teaspoons of lemon juice or vinegar per cup for a quick soured milk, or stir in 1 tablespoon of an existing curd starter, cover and keep in a warm place for 6 to 8 hours to set properly.","Soured milk works for batters and marinades. For raita or serving alongside a meal you need the cultured version set with a starter."
S006,Buttermilk,Curd + water,"Whisk 3 tablespoons of curd with 1 cup of water until smooth and lump free. Season with salt, roasted cumin powder and curry leaves if serving as a drink.","For baking, use soured milk instead: 1 cup milk with 1 tablespoon lemon juice rested 10 minutes."
S007,Corn flour,All purpose flour,"Use double the quantity of all purpose flour for every measure of corn flour. Make a slurry with cold water, add it to the simmering dish and cook at least 3 minutes to remove the raw flour taste.","The sauce will be slightly cloudy rather than glossy. Not suitable if you need a clear glaze."
S008,Corn flour,Rice flour or arrowroot,"Use an equal quantity of rice flour or arrowroot powder mixed into cold water before adding to the pan.","Rice flour gives a crisper coating for fried items. Arrowroot keeps sauces clear and glossy but should be added at the very end as it thins on prolonged boiling."
S009,Baking powder,Baking soda + lemon juice,"Combine a quarter teaspoon of baking soda with half a teaspoon of lemon juice or vinegar to replace 1 teaspoon of baking powder. Mix it in at the last moment and bake immediately.","The reaction is single acting, so the batter will not hold its lift if it rests. Reduce any other liquid slightly to compensate."
S010,Garam masala,Cumin + coriander + cinnamon + clove + pepper,"Dry roast 1 teaspoon cumin, 1 teaspoon coriander seeds, a 1 cm piece of cinnamon, 2 cloves and 4 black peppercorns until aromatic, cool and grind fine.","Add a crushed green cardamom if you have one. Always add garam masala at the end of cooking so the aroma survives."
S011,Ginger garlic paste,Fresh ginger + garlic,"Pound 1 inch of ginger with 8 cloves of garlic in a mortar with a pinch of salt, or grate both finely. Use 1 tablespoon in place of 1 tablespoon of ready paste.","Freshly pounded is noticeably more aromatic. A few drops of oil help it store for a week in the fridge."
S012,Tomato puree,Fresh tomatoes,"Blanch 3 medium tomatoes in hot water for 2 minutes, peel and blend smooth, then cook down for 5 minutes to replace half a cup of puree.","Fresh tomatoes are more watery and less sweet, so cook the gravy a little longer and add a pinch of sugar to balance the acidity."
S013,Tamarind,Lemon juice or amchur,"Replace 1 tablespoon of tamarind pulp with 1 tablespoon of lemon juice added off the heat, or half a teaspoon of amchur powder stirred in near the end.","Tamarind is fruity and slightly sweet while lemon is sharper, so start with less and taste. Amchur suits dry sabzis better than gravies."
S014,Amchur,Lemon juice or chaat masala,"Use half a teaspoon of lemon juice in place of a quarter teaspoon of amchur, added after switching off the heat.","Lemon adds moisture, so avoid it in dry dishes where you want crisp edges. Chaat masala already contains amchur along with salt, so cut back on salt."
S015,Kasuri methi,Fresh fenugreek leaves or celery leaves,"Use 2 tablespoons of finely chopped fresh fenugreek leaves sauteed briefly, or as a distant substitute a teaspoon of dried celery leaves, in place of 1 teaspoon of kasuri methi.","Always crush kasuri methi between your palms before adding to release the aroma. Add it in the last 2 minutes of cooking."
S016,Heavy cream for whipping,Chilled coconut cream,"Refrigerate a can of full fat coconut milk overnight without shaking, scoop out the solid cream from the top and whip it cold with a spoon of sugar.","Dairy free and stable enough for desserts. It carries a mild coconut flavour, so it suits sweet dishes better than savoury ones."
S017,Milk,Almond or oat milk,"Use an equal quantity of unsweetened almond or oat milk in curries, batters and porridge.","Oat milk is closer to dairy milk in body and behaves better in tea. Almond milk can split in very acidic or high heat gravies, so add it on low heat."
S018,Egg in baking,Flax seed + water,"Mix 1 tablespoon of ground flax seed with 3 tablespoons of water and rest 10 minutes until it thickens into a gel. This replaces one egg.","Best for binding in cakes, pancakes and cookies. It will not work where the egg is the main structure, such as an omelette or a souffle."
S019,Yeast,Curd or baking soda + lemon,"For a quick flatbread dough, knead the flour with 3 tablespoons of curd, a quarter teaspoon of baking soda and half a teaspoon of baking powder and rest for 2 hours in a warm place.","This is the classic no yeast naan and kulcha method. The texture is softer and less chewy than a yeasted dough."
S020,Cashews for gravy,"Melon seeds, poppy seeds or almonds","Soak 2 tablespoons of melon seeds, poppy seeds or blanched almonds in hot water for 20 minutes and blend to a smooth paste to replace 15 cashews.","Blanched almonds need their skins removed or the gravy will look speckled. Poppy seed paste thickens more strongly, so use slightly less."
