recipe_id,recipe_name,ingredients,instructions,cuisine,diet,cooking_time_minutes,difficulty,meal_type
R001,Paneer Butter Masala,"paneer, tomatoes, onion, ginger, garlic, cashews, butter, fresh cream, kashmiri red chilli powder, garam masala, kasuri methi, sugar, salt","Boil tomatoes, onion, ginger, garlic and cashews in a cup of water for 12 minutes, cool and blend to a smooth puree. Strain the puree for a silky texture. Heat butter, add the puree and cook on medium heat for 8 minutes until it thickens and the raw smell disappears. Stir in chilli powder, garam masala, sugar and salt. Add cream and half a cup of water, simmer 3 minutes. Fold in cubed paneer and crushed kasuri methi, cook 2 more minutes and rest before serving.",Indian,Vegetarian,40,Medium,Dinner
R002,Chana Masala,"chickpeas, onion, tomatoes, ginger, garlic, green chilli, cumin seeds, coriander powder, turmeric, amchur, garam masala, oil, salt, coriander leaves","Soak chickpeas overnight and pressure cook with salt for 5 whistles until soft. Heat oil, crackle cumin seeds, then saute finely chopped onion until deep golden. Add ginger garlic paste and green chilli, cook 1 minute. Add pureed tomatoes with turmeric and coriander powder and fry until the oil separates. Add the cooked chickpeas with a cup of their cooking water, mash a few with the ladle to thicken the gravy, and simmer 15 minutes. Finish with amchur, garam masala and chopped coriander.",Indian,Vegan,50,Easy,Lunch
R003,Jeera Aloo,"potatoes, cumin seeds, green chilli, turmeric, red chilli powder, amchur, oil, salt, coriander leaves","Boil potatoes until just tender, peel and cut into cubes. Heat oil in a wide pan and crackle cumin seeds. Add slit green chilli and turmeric, then add the potato cubes. Toss gently on medium-high heat for 8 to 10 minutes until the edges are crisp and golden. Sprinkle red chilli powder, amchur and salt, toss once more and finish with coriander leaves.",Indian,Vegan,25,Easy,Lunch
R004,Palak Paneer,"spinach, paneer, onion, tomato, ginger, garlic, green chilli, cumin seeds, garam masala, cream, butter, salt","Blanch spinach in boiling water for 2 minutes, transfer to ice water, then blend with green chilli to a coarse puree. Heat butter, crackle cumin, saute onion until soft, add ginger garlic and cook until fragrant. Add chopped tomato and cook down for 5 minutes. Pour in the spinach puree, season with salt and garam masala and simmer 6 minutes without covering so the colour stays bright. Add lightly pan-seared paneer cubes and a swirl of cream, and take off the heat after 2 minutes.",Indian,Vegetarian,35,Medium,Dinner
R005,Masala Dosa,"dosa rice, urad dal, fenugreek seeds, potatoes, onion, mustard seeds, curry leaves, turmeric, green chilli, oil, salt","Soak rice and urad dal with fenugreek separately for 5 hours, grind to a smooth batter, mix with salt and ferment overnight. For the filling, temper mustard seeds and curry leaves in oil, add sliced onion and green chilli, saute until soft, add turmeric and mashed boiled potatoes with salt. Heat a flat tawa, spread a ladle of batter thin in a spiral, drizzle oil around the edges and cook until crisp and golden. Place the potato filling in the centre, fold and serve hot with chutney and sambar.",South Indian,Vegan,480,Hard,Breakfast
R006,Vegetable Biryani,"basmati rice, carrot, beans, cauliflower, peas, onion, curd, ginger, garlic, mint, coriander, biryani masala, whole spices, saffron, milk, ghee, salt","Soak basmati rice for 30 minutes. Fry sliced onion in ghee until crisp and set aside. Marinate the chopped vegetables in curd with ginger garlic paste, biryani masala, mint and salt for 20 minutes. Boil water with whole spices, cook the rice to 70 percent and drain. Cook the marinated vegetables in a heavy pot for 8 minutes, layer the rice over them, scatter fried onion, herbs and saffron soaked in warm milk. Seal the pot and cook on the lowest heat for 20 minutes, then rest 10 minutes before opening.",Indian,Vegetarian,75,Hard,Dinner
R007,Rajma Masala,"kidney beans, onion, tomatoes, ginger, garlic, bay leaf, cumin seeds, coriander powder, turmeric, red chilli powder, garam masala, oil, salt","Soak kidney beans for 8 hours and pressure cook with a bay leaf and salt for 6 whistles until completely soft. Heat oil, crackle cumin, brown the chopped onion well, then add ginger garlic paste. Add tomato puree with turmeric, coriander and chilli powder and fry until the masala leaves the sides of the pan. Add the beans with their stock, mash a ladleful for body and simmer 20 minutes until the gravy is creamy. Finish with garam masala and serve with steamed rice.",Indian,Vegan,60,Easy,Lunch
R008,Vegetable Pulao,"basmati rice, carrot, peas, beans, onion, cumin seeds, bay leaf, cinnamon, cloves, green chilli, ghee, salt, coriander leaves","Soak rice 20 minutes and drain. Heat ghee in a pressure cooker, add cumin, bay leaf, cinnamon and cloves. Add sliced onion and green chilli and saute until translucent. Add the diced vegetables and toss for 3 minutes. Add the drained rice, salt and one and a half cups water per cup of rice. Pressure cook for 2 whistles, rest 10 minutes, then fluff with a fork and garnish with coriander.",Indian,Vegetarian,30,Easy,Lunch
R009,Aloo Paratha,"wheat flour, potatoes, green chilli, ginger, coriander leaves, amchur, red chilli powder, ajwain, ghee, salt","Knead wheat flour with water and salt into a soft dough and rest 20 minutes. Mash boiled potatoes with chopped green chilli, ginger, coriander, amchur, chilli powder, ajwain and salt, keeping the filling dry. Roll a small disc of dough, place a ball of filling in the centre, gather the edges and seal. Dust with flour and roll gently into a paratha. Cook on a hot tawa, smearing ghee on both sides, until golden brown spots appear. Serve with curd and pickle.",Indian,Vegetarian,45,Medium,Breakfast
R010,Dal Tadka,"toor dal, turmeric, tomato, onion, garlic, dried red chilli, cumin seeds, asafoetida, ghee, salt, coriander leaves","Pressure cook toor dal with turmeric, chopped tomato and salt for 4 whistles, then whisk until creamy. In a small pan heat ghee, crackle cumin seeds, add sliced garlic and dried red chilli and fry until the garlic is golden. Add a pinch of asafoetida and immediately pour the tempering over the hot dal. Cover for a minute to trap the aroma, stir through and finish with coriander leaves.",Indian,Vegetarian,35,Easy,Lunch
